                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.36878,                0.25459,                0.83972,                 0.8305,                0.72376,                0.79496,                0.54117,                 1.2682,                0.96667,                 1.6567,              0.0021625,              0.0021625,              0.0021625
                     97,                0.36343,                0.25182,                0.83731,                0.83186,                0.72519,                0.79504,                 0.5419,                 1.2677,                0.96937,                 1.6579,                0.00208,                0.00208,                0.00208
                     98,                0.36185,                0.25052,                 0.8369,                0.83088,                0.72688,                0.79476,                0.54164,                 1.2679,                0.97091,                 1.6594,              0.0019975,              0.0019975,              0.0019975
                     99,                0.35715,                0.24793,                0.83582,                0.83418,                0.72433,                0.79485,                0.54197,                 1.2678,                0.97121,                 1.6608,               0.001915,               0.001915,               0.001915
                    100,                0.34944,                0.24578,                0.83248,                0.83015,                0.72595,                0.79524,                0.54166,                 1.2679,                0.97171,                 1.6642,              0.0018325,              0.0018325,              0.0018325
                    101,                0.34597,                0.24303,                0.83134,                0.83376,                0.72455,                 0.7956,                0.54197,                 1.2679,                0.97234,                 1.6663,                0.00175,                0.00175,                0.00175
                    102,                0.34179,                0.24164,                0.83048,                0.82794,                0.72994,                0.79554,                0.54166,                 1.2691,                0.97137,                 1.6684,              0.0016675,              0.0016675,              0.0016675
                    103,                0.33605,                0.23824,                0.82895,                0.83182,                0.72636,                0.79563,                0.54191,                 1.2684,                0.97083,                 1.6695,               0.001585,               0.001585,               0.001585
                    104,                0.33794,                0.24038,                0.83037,                0.83447,                0.72232,                0.79534,                 0.5419,                 1.2684,                0.97005,                 1.6708,              0.0015025,              0.0015025,              0.0015025
                    105,                 0.3261,                0.23369,                0.82478,                0.83448,                0.72219,                0.79596,                0.54218,                 1.2685,                0.96961,                 1.6721,                0.00142,                0.00142,                0.00142
                    106,                0.32084,                0.23149,                 0.8247,                0.82056,                0.73236,                0.79541,                 0.5423,                 1.2688,                0.97202,                 1.6741,              0.0013375,              0.0013375,              0.0013375
                    107,                0.31971,                 0.2309,                0.82391,                0.82215,                0.73008,                0.79573,                0.54232,                 1.2687,                0.97399,                 1.6756,               0.001255,               0.001255,               0.001255
                    108,                0.31556,                0.22857,                0.82298,                0.82913,                0.72533,                0.79578,                0.54216,                 1.2686,                0.97406,                 1.6774,              0.0011725,              0.0011725,              0.0011725
                    109,                0.31414,                0.22752,                0.82304,                0.82776,                0.72714,                0.79587,                0.54259,                 1.2683,                0.97515,                 1.6782,                0.00109,                0.00109,                0.00109
                    110,                0.30951,                0.22547,                0.82143,                0.82539,                0.72817,                0.79583,                0.54242,                 1.2683,                0.97562,                 1.6799,              0.0010075,              0.0010075,              0.0010075
                    111,                0.30562,                0.22297,                0.82132,                0.82295,                 0.7283,                  0.795,                0.54216,                 1.2682,                 0.9761,                 1.6806,               0.000925,               0.000925,               0.000925
                    112,                0.29783,                0.22128,                0.81769,                0.82175,                0.72847,                0.79493,                0.54225,                 1.2687,                0.97761,                 1.6819,              0.0008425,              0.0008425,              0.0008425
                    113,                 0.2911,                0.21727,                0.81602,                0.82261,                0.72773,                0.79532,                 0.5422,                 1.2684,                0.97793,                 1.6835,                0.00076,                0.00076,                0.00076
                    114,                0.29134,                0.21749,                0.81633,                0.82351,                0.72749,                 0.7952,                0.54195,                 1.2686,                0.97853,                  1.684,              0.0006775,              0.0006775,              0.0006775
                    115,                0.28568,                 0.2144,                0.81473,                0.82753,                0.72389,                0.79501,                0.54202,                 1.2689,                0.97918,                 1.6856,               0.000595,               0.000595,               0.000595
                    116,                0.27632,                 0.2112,                0.81074,                0.82814,                0.72403,                0.79517,                 0.5422,                  1.269,                0.97971,                 1.6869,              0.0005125,              0.0005125,              0.0005125
                    117,                0.27741,                0.21194,                 0.8124,                0.83554,                0.71867,                0.79511,                0.54229,                 1.2691,                0.98046,                 1.6886,                0.00043,                0.00043,                0.00043
                    118,                 0.2747,                0.20954,                0.81147,                0.83642,                 0.7182,                0.79549,                0.54204,                 1.2694,                0.98116,                 1.6899,              0.0003475,              0.0003475,              0.0003475
                    119,                0.27684,                0.21118,                0.81384,                0.83591,                0.71853,                0.79539,                0.54176,                 1.2695,                0.98096,                 1.6906,               0.000265,               0.000265,               0.000265
