                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 0.4552,                0.34231,                  0.912,                0.92905,                0.91026,                0.96402,                0.64402,                 1.2639,                0.66862,                 1.7922,               0.004225,               0.004225,               0.004225
                     72,                0.45656,                0.34854,                0.91722,                0.91576,                0.89744,                0.95508,                0.64328,                 1.2595,                0.67722,                 1.7817,              0.0041425,              0.0041425,              0.0041425
                     73,                0.44716,                0.34004,                0.90651,                 0.9497,                0.87179,                0.95711,                0.64872,                 1.2293,                0.64975,                 1.7531,                0.00406,                0.00406,                0.00406
                     74,                0.44283,                 0.3415,                0.90263,                0.90867,                0.92308,                0.94957,                0.63273,                 1.2375,                0.68473,                 1.7451,              0.0039775,              0.0039775,              0.0039775
                     75,                0.44943,                0.34657,                0.90561,                0.94524,                0.91026,                0.95676,                0.63627,                 1.2593,                 0.6621,                 1.7651,               0.003895,               0.003895,               0.003895
                     76,                0.43061,                0.33414,                0.89766,                0.97177,                0.88034,                0.96053,                0.64506,                 1.2613,                0.67306,                 1.7631,              0.0038125,              0.0038125,              0.0038125
                     77,                0.42445,                0.33096,                 0.8911,                0.97278,                0.86325,                0.95116,                0.63842,                 1.2512,                 0.6724,                 1.7568,                0.00373,                0.00373,                0.00373
                     78,                0.42159,                0.33097,                0.88935,                0.96259,                 0.8796,                0.95637,                0.64592,                 1.2445,                0.66016,                 1.7561,              0.0036475,              0.0036475,              0.0036475
                     79,                0.43774,                0.33002,                0.90102,                0.92982,                0.90597,                0.95653,                0.63482,                  1.296,                0.67656,                 1.8038,               0.003565,               0.003565,               0.003565
                     80,                0.43117,                0.33186,                0.89242,                0.94494,                0.88018,                0.95268,                0.64685,                 1.2519,                0.66832,                 1.7711,              0.0034825,              0.0034825,              0.0034825
                     81,                0.40104,                0.31805,                0.87839,                0.95353,                0.87685,                0.95337,                0.64782,                 1.2479,                0.66766,                 1.7807,                 0.0034,                 0.0034,                 0.0034
                     82,                0.40829,                0.31917,                0.88273,                0.93269,                0.88818,                0.95008,                0.64528,                  1.247,                0.68141,                 1.7615,              0.0033175,              0.0033175,              0.0033175
                     83,                0.42482,                0.32151,                0.89044,                0.94263,                0.88462,                0.95097,                0.64351,                 1.2437,                0.69157,                 1.7606,               0.003235,               0.003235,               0.003235
                     84,                 0.4112,                0.31864,                0.87926,                0.97255,                0.86752,                0.95237,                0.65369,                 1.2222,                0.66389,                 1.7416,              0.0031525,              0.0031525,              0.0031525
                     85,                0.40038,                0.31442,                0.87536,                0.96183,                 0.8615,                0.95194,                0.65209,                 1.2302,                0.64935,                 1.7739,                0.00307,                0.00307,                0.00307
                     86,                0.39876,                0.31534,                 0.8799,                0.94971,                0.88772,                0.95945,                0.65915,                  1.232,                0.65651,                 1.7797,              0.0029875,              0.0029875,              0.0029875
                     87,                0.39824,                0.31132,                0.87485,                0.96026,                0.89316,                 0.9579,                0.64714,                 1.2387,                0.65512,                 1.7784,               0.002905,               0.002905,               0.002905
                     88,                 0.3861,                0.30838,                0.86664,                 0.9619,                0.88034,                0.95971,                 0.6559,                 1.2338,                0.65558,                 1.7859,              0.0028225,              0.0028225,              0.0028225
                     89,                0.37748,                0.30251,                0.86167,                0.95484,                0.87179,                0.94994,                 0.6521,                 1.2353,                0.66751,                 1.7559,                0.00274,                0.00274,                0.00274
                     90,                0.38225,                 0.3087,                0.86921,                0.94558,                0.89108,                0.95022,                0.64369,                 1.2503,                0.67701,                 1.7704,              0.0026575,              0.0026575,              0.0026575
                     91,                 0.3734,                 0.2977,                0.85964,                0.95425,                0.89142,                0.95115,                0.64082,                 1.2632,                0.68556,                 1.8025,               0.002575,               0.002575,               0.002575
                     92,                0.37039,                0.29648,                 0.8597,                0.97097,                0.87179,                0.95022,                0.64779,                 1.2395,                0.67843,                 1.7877,              0.0024925,              0.0024925,              0.0024925
                     93,                0.36435,                0.29486,                0.85778,                0.97052,                0.86325,                0.94824,                0.64092,                 1.2477,                0.67001,                 1.7917,                0.00241,                0.00241,                0.00241
                     94,                0.36843,                 0.2968,                0.86069,                0.93316,                0.89488,                0.95335,                0.64362,                  1.244,                0.68611,                 1.7848,              0.0023275,              0.0023275,              0.0023275
                     95,                0.36578,                0.29557,                 0.8615,                0.94628,                0.90339,                0.95756,                0.64747,                 1.2461,                0.67573,                 1.7861,               0.002245,               0.002245,               0.002245
                     96,                0.36512,                0.29507,                0.85773,                0.94538,                 0.8876,                 0.9512,                0.64871,                 1.2519,                0.67918,                 1.7926,              0.0021625,              0.0021625,              0.0021625
                     97,                0.34551,                0.28488,                0.85284,                0.95771,                0.87607,                0.95541,                0.64404,                 1.2555,                0.68507,                 1.7796,                0.00208,                0.00208,                0.00208
                     98,                0.34772,                0.28465,                0.84825,                0.96228,                0.87221,                0.95245,                0.64795,                 1.2356,                0.67632,                   1.77,              0.0019975,              0.0019975,              0.0019975
                     99,                0.34681,                0.28464,                0.84857,                0.96929,                 0.8547,                0.95252,                 0.6447,                 1.2494,                0.66837,                 1.7906,               0.001915,               0.001915,               0.001915
                    100,                0.33882,                 0.2784,                0.84388,                0.97166,                0.87607,                0.95709,                0.65479,                 1.2279,                0.65675,                 1.7809,              0.0018325,              0.0018325,              0.0018325
                    101,                0.35274,                 0.2858,                0.85341,                 0.9691,                0.85897,                 0.9515,                0.64868,                 1.2296,                0.67771,                 1.7801,                0.00175,                0.00175,                0.00175
                    102,                0.32694,                0.27584,                0.84024,                0.95413,                0.88885,                0.95345,                0.65472,                 1.2474,                0.67575,                 1.7899,              0.0016675,              0.0016675,              0.0016675
                    103,                0.33376,                0.27721,                0.84345,                0.96272,                0.86325,                0.95581,                0.64696,                 1.2557,                0.67843,                 1.8048,               0.001585,               0.001585,               0.001585
                    104,                0.33308,                0.27446,                 0.8433,                0.95332,                0.87272,                0.95404,                0.65078,                 1.2483,                0.68514,                 1.8001,              0.0015025,              0.0015025,              0.0015025
